Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.031998657307624086,0.7547946973615156,0.5080472834610483,0.017248837490746866,-0.7547946973615156,0.5080472834610483
ENSG00000241860,AL627309.5,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000286448,AP006222.2,0.004035866687448083,0.1762584657997941,0.9888678789426057,0.001916537498971874,-0.1762584657997941,0.9888678789426057
ENSG00000229905,AL669831.2,0.0014413809598028868,-0.14566962908756764,1.0,0.0,0.14566962908756764,1.0
ENSG00000237491,LINC01409,0.07985250517307993,-0.2555472468599427,0.7874724395106466,0.09391033744962184,0.2555472468599427,0.7874724395106466
ENSG00000177757,FAM87B,0.0005765523839211547,-2.1456696290875676,0.6937786413018344,0.001916537498971874,2.1456696290875676,0.6937786413018344
ENSG00000228794,LINC01128,0.13520153402951077,-0.39327399435175714,0.5082153375729751,0.17632144990541243,0.39327399435175714,0.5082153375729751
ENSG00000225880,LINC00115,0.042088324026244295,0.2991152135853268,0.8527301196397277,0.03258113748252186,-0.2991152135853268,0.8527301196397277
ENSG00000230368,FAM41C,0.0216207143970433,-0.389595211973659,0.7926633337941665,0.026831524985606238,0.389595211973659,0.7926633337941665
ENSG00000272438,AL645608.6,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000230699,AL645608.2,0.000864828575881732,-0.7306321298087237,1.0,0.0,0.7306321298087237,1.0
ENSG00000241180,AL645608.4,0.00028827619196057733,-1.7306321298087237,1.0,0.0,1.7306321298087237,1.0
ENSG00000223764,LINC02593,0.1729657151763464,0.024855619936062556,1.0,0.16865529990952494,-0.024855619936062556,1.0
ENSG00000187634,SAMD11,0.4344322212845901,-0.01770146748443624,1.0,0.43888708726455916,0.01770146748443624,1.0
ENSG00000188976,NOC2L,1.2401641778144037,-0.0561097860422739,0.995563358798468,1.2898297368080713,0.0561097860422739,0.995563358798468
ENSG00000187961,KLHL17,0.27443893474646963,-0.25215224078468124,0.6915080618317551,0.3258113748252186,0.25215224078468124,0.6915080618317551
ENSG00000187583,PLEKHN1,0.07841112421327705,-0.19246384056650978,0.883715043130212,0.08816072495270622,0.19246384056650978,0.883715043130212
ENSG00000187642,PERM1,0.040646943066441406,0.512224394087438,0.6529138343806471,0.026831524985606238,-0.512224394087438,0.6529138343806471
ENSG00000272512,AL645608.7,0.0637090384232876,-0.6641367180218185,0.2681628314496097,0.09965994994653746,0.6641367180218185,0.2681628314496097
ENSG00000188290,HES4,2.731705195018431,0.04391233172275322,1.0,2.652487898577074,-0.04391233172275322,1.0
ENSG00000187608,ISG15,27.90744159131957,-0.1357252799378319,0.8937138740731965,30.70868034602634,0.1357252799378319,0.8937138740731965
ENSG00000224969,AL645608.1,0.0005765523839211547,-1.1456696290875676,1.0,0.0,1.1456696290875676,1.0
ENSG00000188157,AGRN,1.1297543962935026,0.3172625602955861,0.6915080618317551,0.9065222370136965,-0.3172625602955861,0.6915080618317551
ENSG00000237330,RNF223,0.06313248603936644,0.46576508299477837,0.657454201180752,0.04408036247635311,-0.46576508299477837,0.657454201180752
ENSG00000131591,C1orf159,0.3678404209416967,-0.14679894033183993,0.8566079743671549,0.4063059497820373,0.14679894033183993,0.8566079743671549
ENSG00000223823,LINC01342,0.05621385743231259,0.6361502008628976,0.5552468084565958,0.03449767498149373,-0.6361502008628976,0.5552468084565958
ENSG00000272141,AL390719.2,0.24013406790316094,0.35856159952072986,0.6848444124422046,0.18590413740027179,-0.35856159952072986,0.6848444124422046
ENSG00000205231,TTLL10-AS1,0.0,-3.7306321298087237,0.4209143994637259,0.001916537498971874,3.7306321298087237,0.4209143994637259
ENSG00000162571,TTLL10,0.0049006952633298155,-0.5607071283664133,1.0,0.005749612496915623,0.5607071283664133,1.0
ENSG00000186891,TNFRSF18,0.7662381182312146,-0.48066854079424776,0.2605890719828037,1.0694279244263059,0.48066854079424776,0.2605890719828037
ENSG00000186827,TNFRSF4,0.37706525908443517,-1.1077017788885486,0.00029087996052468,0.8126118995640746,1.1077017788885486,0.00029087996052468
ENSG00000078808,SDF4,2.412583450518072,-0.34347641214574387,0.5051443651696159,3.0645434608560267,0.34347641214574387,0.5051443651696159
ENSG00000176022,B3GALT6,0.6402614223444423,0.16784245111820517,0.9474322114477807,0.5692116371946466,-0.16784245111820517,0.9474322114477807
ENSG00000184163,C1QTNF12,0.03545797161115102,-0.024363332865435794,1.0,0.03449767498149373,0.024363332865435794,1.0
ENSG00000260179,AL162741.1,0.0005765523839211547,-2.1456696290875676,0.6937786413018344,0.001916537498971874,2.1456696290875676,0.6937786413018344
ENSG00000160087,UBE2J2,1.026551519571616,-0.15857252149589224,0.818195576890935,1.1460894243851807,0.15857252149589224,0.818195576890935
ENSG00000230415,LINC01786,0.0014413809598028868,-0.14566962908756764,1.0,0.0,0.14566962908756764,1.0
ENSG00000162572,SCNN1D,0.2009285057965224,0.07259490662620216,1.0,0.18973721239821553,-0.07259490662620216,1.0
ENSG00000131584,ACAP3,0.8227402518554878,-0.38064011650348667,0.4209143994637259,1.0713444619252777,0.38064011650348667,0.4209143994637259
ENSG00000169972,PUSL1,0.40935219258401984,0.14960167216597453,0.9841319574493296,0.36797519980259985,-0.14960167216597453,0.9841319574493296
