Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
THBS1__Stroma,CD74__Malignant,4.110083989068765,0.9685631156406587,4.243485966683894,16.53501843075303,69.03633491311216
TNFSF10__Malignant,CD81__Stroma,4.0996873877762114,3.1448646998452707,1.3036132803989686,66.29805160610847,19.40494997367035
TNFSF10__Malignant,CD74__Stroma,4.0618490602898865,3.1448646998452707,1.2915814980815332,66.29805160610847,20.221169036334913
HLA-DRB1__Malignant,CD81__Stroma,4.056330409207606,3.111605619702012,1.3036132803989686,68.27277514481305,19.40494997367035
HLA-B__Malignant,FLOT1__Stroma,4.0437994302661195,4.450106578742534,0.908697209541614,69.03633491311216,16.903633491311215
HLA-DRB1__Malignant,CD74__Stroma,4.018892247733642,3.111605619702012,1.2915814980815332,68.27277514481305,20.221169036334913
GNAS__Malignant,IL6ST__Stroma,4.017345164132406,3.67030013569406,1.0945549452654555,68.27277514481305,17.9304897314376
B2M__Malignant,ITGB5__Stroma,3.960810873680167,4.6627616364755315,0.8494560053629607,69.06266456029489,15.11321748288573
IGFBP4__Malignant,CD81__Stroma,3.9372909863965266,3.020290638026889,1.3036132803989686,68.45708267509215,19.40494997367035
FN1__Stroma,FLOT1__Malignant,3.9294716608551843,1.4325379738808335,2.7430139601884367,19.641916798314902,65.7451290152712
HLA-A__Malignant,FLOT1__Stroma,3.9103471188420427,4.3032454350933795,0.908697209541614,69.08899420747761,16.903633491311215
IGFBP4__Malignant,CD74__Stroma,3.900951506904399,3.020290638026889,1.2915814980815332,68.45708267509215,20.221169036334913
FN1__Stroma,PLXNB2__Malignant,3.8911147191135877,1.4325379738808335,2.7162384453742043,19.641916798314902,65.69246972090575
FN1__Stroma,SDC1__Malignant,3.884310703987578,1.4325379738808335,2.7114888225020253,19.641916798314902,64.797261716693
MIF__Malignant,ITGB5__Stroma,3.878403347389832,4.565749518402244,0.8494560053629607,69.06266456029489,15.11321748288573
ARF1__Malignant,IL6ST__Stroma,3.876179373177457,3.5413291858431024,1.0945549452654555,68.06213796735123,17.9304897314376
HSPA1A__Malignant,IL6ST__Stroma,3.8630080157522273,3.529295657985773,1.0945549452654555,67.7461822011585,17.9304897314376
TIMP3__Stroma,BAMBI__Malignant,3.8167449353150884,1.0308663439741617,3.702463425666707,16.824644549763033,67.93048973143759
LGALS3BP__Malignant,IL6ST__Stroma,3.814088765383633,3.484602378237509,1.0945549452654555,68.72037914691943,17.9304897314376
FN1__Stroma,GFRA1__Malignant,3.8123632546350943,1.4325379738808335,2.6612650583405952,19.641916798314902,64.6129541864139
CD9__Malignant,IL6ST__Stroma,3.783988225623646,3.4571021235539154,1.0945549452654555,67.6408636124276,17.9304897314376
TFF3__Malignant,FLOT1__Stroma,3.782188066610324,4.162209399232361,0.908697209541614,68.90468667719853,16.903633491311215
HLA-B__Malignant,ITGB5__Stroma,3.7801697578180646,4.450106578742534,0.8494560053629607,69.03633491311216,15.11321748288573
CXCL14__Malignant,CD81__Stroma,3.714897149941269,2.849692624184015,1.3036132803989686,66.45602948920485,19.40494997367035
CXCL14__Malignant,CD74__Stroma,3.6806102686154856,2.849692624184015,1.2915814980815332,66.45602948920485,20.221169036334913
FN1__Stroma,CD55__Malignant,3.6711730326523453,1.4325379738808335,2.5627055614497336,19.641916798314902,63.90205371248025
EFNA1__Malignant,IL6ST__Stroma,3.6568739024356027,3.340968782109631,1.0945549452654555,67.16692996313849,17.9304897314376
HLA-A__Malignant,ITGB5__Stroma,3.655417677390818,4.3032454350933795,0.8494560053629607,69.08899420747761,15.11321748288573
AZGP1__Malignant,IL6ST__Stroma,3.638926474537502,3.324571772552703,1.0945549452654555,67.53554502369668,17.9304897314376
FN1__Stroma,AMFR__Malignant,3.622227514334947,1.4325379738808335,2.528538566082203,19.641916798314902,62.82253817798842
HLA-C__Malignant,FLOT1__Stroma,3.602236342665927,3.9641767409883983,0.908697209541614,68.64139020537124,16.903633491311215
THBS1__Stroma,BAMBI__Malignant,3.586069511109332,0.9685631156406587,3.702463425666707,16.53501843075303,67.93048973143759
TIMP3__Stroma,CD9__Malignant,3.5638102268533354,1.0308663439741617,3.4571021235539154,16.824644549763033,67.6408636124276
TFF3__Malignant,ITGB5__Stroma,3.5356137697560897,4.162209399232361,0.8494560053629607,68.90468667719853,15.11321748288573
BST2__Malignant,IL6ST__Stroma,3.5081547740155496,3.2050970023845986,1.0945549452654555,67.58820431806214,17.9304897314376
CD24__Malignant,FLOT1__Stroma,3.5050087505103247,3.8571800526144475,0.908697209541614,68.19378620326488,16.903633491311215
UBA52__Malignant,FLOT1__Stroma,3.495396990073624,3.846602535333912,0.908697209541614,68.74670879410216,16.903633491311215
FN1__Stroma,PRLR__Malignant,3.4519977647048674,1.4325379738808335,2.409707684992945,19.641916798314902,61.87467087941022
FN1__Stroma,IFITM1__Malignant,3.4496152382140655,1.4325379738808335,2.4080445343231256,19.641916798314902,62.34860452869931
TNFSF10__Malignant,IL6ST__Stroma,3.4422272094064033,3.1448646998452707,1.0945549452654555,66.29805160610847,17.9304897314376
TIMP3__Stroma,CD63__Malignant,3.4217679950369524,1.0308663439741617,3.31931294007084,16.824644549763033,68.48341232227489
COMP__Stroma,CD74__Malignant,3.4214698192190096,0.8062875301300323,4.243485966683894,13.717746182201159,69.03633491311216
HLA-DRB1__Malignant,IL6ST__Stroma,3.4058233187606195,3.111605619702012,1.0945549452654555,68.27277514481305,17.9304897314376
HLA-C__Malignant,ITGB5__Stroma,3.367393738952765,3.9641767409883983,0.8494560053629607,68.64139020537124,15.11321748288573
FN1__Stroma,ATP6AP2__Malignant,3.359630406626108,1.4325379738808335,2.3452295631121474,19.641916798314902,62.95418641390206
THBS1__Stroma,CD9__Malignant,3.3484216038773176,0.9685631156406587,3.4571021235539154,16.53501843075303,67.6408636124276
GNAS__Malignant,FLOT1__Stroma,3.3351914914854,3.67030013569406,0.908697209541614,68.27277514481305,16.903633491311215
IGFBP4__Malignant,IL6ST__Stroma,3.305874053991289,3.020290638026889,1.0945549452654555,68.45708267509215,17.9304897314376
FN1__Stroma,ADORA2A__Malignant,3.283542064984993,1.4325379738808335,2.2921152003319505,19.641916798314902,60.61084781463928
CD24__Malignant,ITGB5__Stroma,3.2765047594595633,3.8571800526144475,0.8494560053629607,68.19378620326488,15.11321748288573
UBA52__Malignant,ITGB5__Stroma,3.267519623883782,3.846602535333912,0.8494560053629607,68.74670879410216,15.11321748288573
