ENSG00000104368	PLAT	Gene Expression
ENSG00000156471	PTDSS1	Gene Expression
ENSG00000169439	SDC2	Gene Expression
ENSG00000154188	ANGPT1	Gene Expression
ENSG00000164946	FREM1	Gene Expression
ENSG00000172724	CCL19	Gene Expression
ENSG00000137101	CD72	Gene Expression
ENSG00000187764	SEMA4D	Gene Expression
ENSG00000169071	ROR2	Gene Expression
ENSG00000106799	TGFBR1	Gene Expression
ENSG00000181634	TNFSF15	Gene Expression
ENSG00000106991	ENG	Gene Expression
ENSG00000050555	LAMC3	Gene Expression
ENSG00000148400	NOTCH1	Gene Expression
ENSG00000134460	IL2RA	Gene Expression
ENSG00000026025	VIM	Gene Expression
ENSG00000260314	MRC1	Gene Expression
ENSG00000095739	BAMBI	Gene Expression
ENSG00000150093	ITGB1	Gene Expression
ENSG00000099250	NRP1	Gene Expression
ENSG00000197746	PSAP	Gene Expression
ENSG00000107779	BMPR1A	Gene Expression
ENSG00000026103	FAS	Gene Expression
ENSG00000095637	SORBS1	Gene Expression
ENSG00000151892	GFRA1	Gene Expression
ENSG00000148848	ADAM12	Gene Expression
ENSG00000185885	IFITM1	Gene Expression
ENSG00000177697	CD151	Gene Expression
ENSG00000110651	CD81	Gene Expression
ENSG00000085063	CD59	Gene Expression
ENSG00000026508	CD44	Gene Expression
ENSG00000085117	CD82	Gene Expression
ENSG00000110492	MDK	Gene Expression
ENSG00000168056	LTBP3	Gene Expression
ENSG00000162337	LRP5	Gene Expression
ENSG00000137673	MMP7	Gene Expression
ENSG00000182985	CADM1	Gene Expression
ENSG00000109943	CRTAM	Gene Expression
ENSG00000149564	ESAM	Gene Expression
ENSG00000084234	APLP2	Gene Expression
ENSG00000166086	JAM3	Gene Expression
ENSG00000110799	VWF	Gene Expression
ENSG00000010278	CD9	Gene Expression
ENSG00000111321	LTBR	Gene Expression
ENSG00000089692	LAG3	Gene Expression
ENSG00000010610	CD4	Gene Expression
ENSG00000177575	CD163	Gene Expression
ENSG00000111796	KLRB1	Gene Expression
ENSG00000069493	CLEC2D	Gene Expression
ENSG00000139567	ACVRL1	Gene Expression
ENSG00000135503	ACVR1B	Gene Expression
ENSG00000139626	ITGB7	Gene Expression
ENSG00000161638	ITGA5	Gene Expression
ENSG00000135404	CD63	Gene Expression
ENSG00000135414	GDF11	Gene Expression
ENSG00000065361	ERBB3	Gene Expression
ENSG00000090382	LYZ	Gene Expression
ENSG00000127329	PTPRB	Gene Expression
ENSG00000017427	IGF1	Gene Expression
ENSG00000110876	SELPLG	Gene Expression
ENSG00000073060	SCARB1	Gene Expression
ENSG00000189403	HMGB1	Gene Expression
ENSG00000134871	COL4A2	Gene Expression
ENSG00000126218	F10	Gene Expression
ENSG00000214274	ANG	Gene Expression
ENSG00000100448	CTSG	Gene Expression
ENSG00000100453	GZMB	Gene Expression
ENSG00000125378	BMP4	Gene Expression
ENSG00000080815	PSEN1	Gene Expression
ENSG00000119630	PGF	Gene Expression
ENSG00000198668	CALM1	Gene Expression
ENSG00000131323	TRAF3	Gene Expression
ENSG00000184916	JAG2	Gene Expression
ENSG00000137801	THBS1	Gene Expression
ENSG00000166710	B2M	Gene Expression
ENSG00000137872	SEMA6D	Gene Expression
ENSG00000182718	ANXA2	Gene Expression
ENSG00000137809	ITGA11	Gene Expression
ENSG00000156642	NPTN	Gene Expression
ENSG00000138623	SEMA7A	Gene Expression
ENSG00000172349	IL16	Gene Expression
ENSG00000162078	ZG16B	Gene Expression
ENSG00000197471	SPN	Gene Expression
ENSG00000005844	ITGAL	Gene Expression
ENSG00000169896	ITGAM	Gene Expression
ENSG00000159461	AMFR	Gene Expression
ENSG00000006210	CX3CL1	Gene Expression
ENSG00000039068	CDH1	Gene Expression
ENSG00000257017	HP	Gene Expression
ENSG00000090863	GLG1	Gene Expression
ENSG00000168961	LGALS9	Gene Expression
ENSG00000181374	CCL13	Gene Expression
ENSG00000271503	CCL5	Gene Expression
ENSG00000141736	ERBB2	Gene Expression
ENSG00000141753	IGFBP4	Gene Expression
ENSG00000030582	GRN	Gene Expression
ENSG00000180340	FZD2	Gene Expression
ENSG00000108379	WNT3	Gene Expression
ENSG00000011028	MRC2	Gene Expression
ENSG00000108622	ICAM2	Gene Expression
ENSG00000132470	ITGB4	Gene Expression
ENSG00000108679	LGALS3BP	Gene Expression
ENSG00000101680	LAMA1	Gene Expression
ENSG00000173482	PTPRM	Gene Expression
ENSG00000053747	LAMA3	Gene Expression
ENSG00000150637	CD226	Gene Expression
ENSG00000105246	EBI3	Gene Expression
ENSG00000125735	TNFSF14	Gene Expression
ENSG00000104921	FCER2	Gene Expression
ENSG00000267534	S1PR2	Gene Expression
ENSG00000090339	ICAM1	Gene Expression
ENSG00000076662	ICAM3	Gene Expression
ENSG00000130164	LDLR	Gene Expression
ENSG00000179218	CALR	Gene Expression
ENSG00000104998	IL27RA	Gene Expression
ENSG00000074181	NOTCH3	Gene Expression
ENSG00000130303	BST2	Gene Expression
ENSG00000221983	UBA52	Gene Expression
ENSG00000105664	COMP	Gene Expression
ENSG00000105220	GPI	Gene Expression
ENSG00000011600	TYROBP	Gene Expression
ENSG00000197019	SERTAD1	Gene Expression
ENSG00000167601	AXL	Gene Expression
ENSG00000105329	TGFB1	Gene Expression
ENSG00000073008	PVR	Gene Expression
ENSG00000130203	APOE	Gene Expression
ENSG00000187474	FPR3	Gene Expression
ENSG00000089012	SIRPG	Gene Expression
ENSG00000198053	SIRPA	Gene Expression
ENSG00000132670	PTPRA	Gene Expression
ENSG00000088827	SIGLEC1	Gene Expression
ENSG00000125845	BMP2	Gene Expression
ENSG00000198959	TGM2	Gene Expression
ENSG00000124145	SDC4	Gene Expression
ENSG00000101017	CD40	Gene Expression
ENSG00000087460	GNAS	Gene Expression
ENSG00000130702	LAMA5	Gene Expression
ENSG00000092758	COL9A3	Gene Expression
ENSG00000243509	TNFRSF6B	Gene Expression
ENSG00000154721	JAM2	Gene Expression
ENSG00000142192	APP	Gene Expression
ENSG00000160180	TFF3	Gene Expression
ENSG00000160255	ITGB2	Gene Expression
ENSG00000240972	MIF	Gene Expression
ENSG00000128271	ADORA2A	Gene Expression
ENSG00000167065	DUSP18	Gene Expression
ENSG00000100234	TIMP3	Gene Expression
ENSG00000100311	PDGFB	Gene Expression
ENSG00000188064	WNT7B	Gene Expression
ENSG00000196576	PLXNB2	Gene Expression
ENSG00000182220	ATP6AP2	Gene Expression
ENSG00000179222	MAGED1	Gene Expression
ENSG00000169083	AR	Gene Expression
ENSG00000090776	EFNB1	Gene Expression
ENSG00000147168	IL2RG	Gene Expression
ENSG00000188153	COL4A5	Gene Expression
ENSG00000131724	IL13RA1	Gene Expression
ENSG00000005893	LAMP2	Gene Expression
ENSG00000147257	GPC3	Gene Expression
ENSG00000102245	CD40LG	Gene Expression
ENSG00000130827	PLXNA3	Gene Expression
