pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
ICAM3__Endothelial|ACVR1B__Bcell,ICAM3,ACVR1B,Endothelial,Bcell,62,20,2.344767e-06
TF__Tcell|NCSTN__Stroma,TF,NCSTN,Tcell,Stroma,9,768,2.3426196e-06
SLIT2__Tcell|SORT1__Stroma,SLIT2,SORT1,Tcell,Stroma,9,768,2.3411806e-06
ANGPTL1__Bcell|NRP1__Macrophage,ANGPTL1,NRP1,Bcell,Macrophage,20,315,2.3407817e-06
F10__Bcell|ITGAV__Macrophage,F10,ITGAV,Bcell,Macrophage,20,315,2.340389e-06
TNFSF15__Tcell|CAV1__Stroma,TNFSF15,CAV1,Tcell,Stroma,9,768,2.3400141e-06
FREM1__Bcell|SDC3__Stroma,FREM1,SDC3,Bcell,Stroma,20,768,2.3394064e-06
CD226__Tcell|ITGAL__Stroma,CD226,ITGAL,Tcell,Stroma,9,768,2.3390953e-06
LPL__Tcell|PLXNA3__Stroma,LPL,PLXNA3,Tcell,Stroma,9,768,2.3363073e-06
DUSP18__Tcell|ITGA5__Macrophage,DUSP18,ITGA5,Tcell,Macrophage,9,315,2.3362554e-06
TNFSF15__Tcell|APP__Macrophage,TNFSF15,APP,Tcell,Macrophage,9,315,2.3344246e-06
ANGPTL1__Bcell|AR__Stroma,ANGPTL1,AR,Bcell,Stroma,20,768,2.3339414e-06
FCER2__Tcell|CD151__Malignant,FCER2,CD151,Tcell,Malignant,9,2624,2.3308166e-06
HGF__Bcell|AR__Stroma,HGF,AR,Bcell,Stroma,20,768,2.3271848e-06
VCAM1__Tcell|TFRC__Bcell,VCAM1,TFRC,Tcell,Bcell,9,20,2.327124e-06
LPL__Tcell|ITGAL__Macrophage,LPL,ITGAL,Tcell,Macrophage,9,315,2.3241637e-06
LAMA2__Tcell|PLXNB1__Stroma,LAMA2,PLXNB1,Tcell,Stroma,9,768,2.3218608e-06
ICAM2__Endothelial|CADM1__Bcell,ICAM2,CADM1,Endothelial,Bcell,62,20,2.3217337e-06
SLIT2__Tcell|CADM1__Stroma,SLIT2,CADM1,Tcell,Stroma,9,768,2.3209896e-06
FREM1__Tcell|PLXND1__Stroma,FREM1,PLXND1,Tcell,Stroma,9,768,2.3180826e-06
PLA2G2A__Bcell|ESAM__Stroma,PLA2G2A,ESAM,Bcell,Stroma,20,768,2.317489e-06
HGF__Bcell|NRP1__Macrophage,HGF,NRP1,Bcell,Macrophage,20,315,2.3174487e-06
