pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
B2M__Malignant|CD74__Macrophage,B2M,CD74,Malignant,Macrophage,2624,315,112.455635
HLA-B__Malignant|CD74__Macrophage,HLA-B,CD74,Malignant,Macrophage,2624,315,87.64432
MIF__Malignant|CD74__Macrophage,MIF,CD74,Malignant,Macrophage,2624,315,86.10357
HLA-A__Malignant|CD74__Macrophage,HLA-A,CD74,Malignant,Macrophage,2624,315,65.180664
TFF3__Malignant|CD74__Macrophage,TFF3,CD74,Malignant,Macrophage,2624,315,59.074654
APOE__Macrophage|CD74__Malignant,APOE,CD74,Macrophage,Malignant,315,2624,46.74609
HLA-C__Malignant|CD74__Macrophage,HLA-C,CD74,Malignant,Macrophage,2624,315,43.558445
CD24__Malignant|CD74__Macrophage,CD24,CD74,Malignant,Macrophage,2624,315,35.532276
UBA52__Malignant|CD74__Macrophage,UBA52,CD74,Malignant,Macrophage,2624,315,31.9406
PSAP__Macrophage|CD74__Malignant,PSAP,CD74,Macrophage,Malignant,315,2624,29.832453
HLA-DRA__Macrophage|CD74__Malignant,HLA-DRA,CD74,Macrophage,Malignant,315,2624,27.602085
APOE__Macrophage|BAMBI__Malignant,APOE,BAMBI,Macrophage,Malignant,315,2624,26.7417
GNAS__Malignant|CD74__Macrophage,GNAS,CD74,Malignant,Macrophage,2624,315,25.85006
LGALS3BP__Malignant|CD74__Macrophage,LGALS3BP,CD74,Malignant,Macrophage,2624,315,25.599813
FN1__Stroma|CD74__Malignant,FN1,CD74,Stroma,Malignant,768,2624,24.095188
HSPA1A__Malignant|CD74__Macrophage,HSPA1A,CD74,Malignant,Macrophage,2624,315,23.175901
ARF1__Malignant|CD74__Macrophage,ARF1,CD74,Malignant,Macrophage,2624,315,22.288628
CD9__Malignant|CD74__Macrophage,CD9,CD74,Malignant,Macrophage,2624,315,21.219065
EFNA1__Malignant|CD74__Macrophage,EFNA1,CD74,Malignant,Macrophage,2624,315,19.241095
TNFSF10__Malignant|CD74__Macrophage,TNFSF10,CD74,Malignant,Macrophage,2624,315,18.20928
CALR__Malignant|CD74__Macrophage,CALR,CD74,Malignant,Macrophage,2624,315,17.53613
APOE__Macrophage|CD9__Malignant,APOE,CD9,Macrophage,Malignant,315,2624,17.469948
PSAP__Macrophage|BAMBI__Malignant,PSAP,BAMBI,Macrophage,Malignant,315,2624,17.05999
B2M__Malignant|CD81__Stroma,B2M,CD81,Malignant,Stroma,2624,768,16.901337
AZGP1__Malignant|CD74__Macrophage,AZGP1,CD74,Malignant,Macrophage,2624,315,16.554089
LYZ__Macrophage|CD74__Malignant,LYZ,CD74,Macrophage,Malignant,315,2624,15.901155
HLA-DRA__Macrophage|BAMBI__Malignant,HLA-DRA,BAMBI,Macrophage,Malignant,315,2624,15.896752
B2M__Malignant|CD74__Stroma,B2M,CD74,Malignant,Stroma,2624,768,15.28516
IGFBP4__Malignant|CD74__Macrophage,IGFBP4,CD74,Malignant,Macrophage,2624,315,14.973416
B2M__Malignant|CD81__Macrophage,B2M,CD81,Malignant,Macrophage,2624,315,14.784245
APOE__Macrophage|IL6ST__Malignant,APOE,IL6ST,Macrophage,Malignant,315,2624,14.720048
BST2__Malignant|CD74__Macrophage,BST2,CD74,Malignant,Macrophage,2624,315,14.463356
MIF__Malignant|CD81__Stroma,MIF,CD81,Malignant,Stroma,2624,768,14.204747
APOE__Macrophage|CD63__Malignant,APOE,CD63,Macrophage,Malignant,315,2624,13.950657
CDH1__Malignant|CD74__Macrophage,CDH1,CD74,Malignant,Macrophage,2624,315,13.346316
MIF__Malignant|CD74__Stroma,MIF,CD74,Malignant,Stroma,2624,768,13.024922
B2M__Malignant|CD63__Macrophage,B2M,CD63,Malignant,Macrophage,2624,315,13.020283
HLA-B__Malignant|CD81__Stroma,HLA-B,CD81,Malignant,Stroma,2624,768,12.807002
FN1__Stroma|BAMBI__Malignant,FN1,BAMBI,Stroma,Malignant,768,2624,12.678217
CXCL14__Malignant|CD74__Macrophage,CXCL14,CD74,Malignant,Macrophage,2624,315,12.333416
HLA-DRB1__Malignant|CD74__Macrophage,HLA-DRB1,CD74,Malignant,Macrophage,2624,315,12.014907
HLA-B__Malignant|CD74__Stroma,HLA-B,CD74,Malignant,Stroma,2624,768,11.631695
HLA-B__Malignant|CD81__Macrophage,HLA-B,CD81,Malignant,Macrophage,2624,315,11.509683
MIF__Malignant|CD81__Macrophage,MIF,CD81,Malignant,Macrophage,2624,315,11.250793
PSAP__Macrophage|CD9__Malignant,PSAP,CD9,Macrophage,Malignant,315,2624,11.187668
HLA-DRA__Macrophage|CD9__Malignant,HLA-DRA,CD9,Macrophage,Malignant,315,2624,10.283144
CD59__Malignant|CD74__Macrophage,CD59,CD74,Malignant,Macrophage,2624,315,10.23126
APOE__Macrophage|ERBB2__Malignant,APOE,ERBB2,Macrophage,Malignant,315,2624,10.225293
HLA-B__Malignant|CD63__Macrophage,HLA-B,CD63,Malignant,Macrophage,2624,315,10.153815
MIF__Malignant|CD63__Macrophage,MIF,CD63,Malignant,Macrophage,2624,315,9.922939
HLA-A__Malignant|CD81__Stroma,HLA-A,CD81,Malignant,Stroma,2624,768,9.78619
TFF3__Malignant|CD81__Stroma,TFF3,CD81,Malignant,Stroma,2624,768,9.471911
HMGB1__Malignant|CD74__Macrophage,HMGB1,CD74,Malignant,Macrophage,2624,315,9.4007015
PSAP__Macrophage|IL6ST__Malignant,PSAP,IL6ST,Macrophage,Malignant,315,2624,9.343642
APOE__Macrophage|ENO1__Malignant,APOE,ENO1,Macrophage,Malignant,315,2624,9.296669
LYZ__Macrophage|BAMBI__Malignant,LYZ,BAMBI,Macrophage,Malignant,315,2624,9.2670145
FN1__Stroma|CD9__Malignant,FN1,CD9,Stroma,Malignant,768,2624,9.207424
TFF3__Malignant|CD74__Stroma,TFF3,CD74,Malignant,Stroma,2624,768,9.198245
C1QA__Macrophage|CD74__Malignant,C1QA,CD74,Macrophage,Malignant,315,2624,9.19231
PSAP__Macrophage|CD63__Malignant,PSAP,CD63,Macrophage,Malignant,315,2624,8.919572
C1QB__Macrophage|CD74__Malignant,C1QB,CD74,Macrophage,Malignant,315,2624,8.891128
APOE__Macrophage|CD151__Malignant,APOE,CD151,Macrophage,Malignant,315,2624,8.867638
HLA-A__Malignant|CD74__Stroma,HLA-A,CD74,Malignant,Stroma,2624,768,8.853461
HLA-DRA__Macrophage|IL6ST__Malignant,HLA-DRA,IL6ST,Macrophage,Malignant,315,2624,8.743479
HLA-A__Malignant|CD81__Macrophage,HLA-A,CD81,Malignant,Macrophage,2624,315,8.57149
B2M__Malignant|IL6ST__Stroma,B2M,IL6ST,Malignant,Stroma,2624,768,8.312851
HLA-DRA__Macrophage|CD63__Malignant,HLA-DRA,CD63,Macrophage,Malignant,315,2624,8.223564
B2M__Malignant|TYROBP__Macrophage,B2M,TYROBP,Malignant,Macrophage,2624,315,8.141846
GRN__Macrophage|CD74__Malignant,GRN,CD74,Macrophage,Malignant,315,2624,8.130578
CALM1__Malignant|CD74__Macrophage,CALM1,CD74,Malignant,Macrophage,2624,315,8.117454
GPI__Malignant|CD74__Macrophage,GPI,CD74,Malignant,Macrophage,2624,315,7.94072
VIM__Macrophage|CD74__Malignant,VIM,CD74,Macrophage,Malignant,315,2624,7.931261
TFF3__Malignant|CD81__Macrophage,TFF3,CD81,Malignant,Macrophage,2624,315,7.615938
HLA-A__Malignant|CD63__Macrophage,HLA-A,CD63,Malignant,Macrophage,2624,315,7.548808
MDK__Malignant|CD74__Macrophage,MDK,CD74,Malignant,Macrophage,2624,315,7.5474577
APOE__Macrophage|SDC1__Malignant,APOE,SDC1,Macrophage,Malignant,315,2624,7.270302
APOE__Macrophage|GFRA1__Malignant,APOE,GFRA1,Macrophage,Malignant,315,2624,7.203447
B2M__Malignant|CD9__Macrophage,B2M,CD9,Malignant,Macrophage,2624,315,7.1607795
FN1__Stroma|CD63__Malignant,FN1,CD63,Stroma,Malignant,768,2624,7.144261
ADAM15__Malignant|CD74__Macrophage,ADAM15,CD74,Malignant,Macrophage,2624,315,7.117756
LAMB2__Malignant|CD74__Macrophage,LAMB2,CD74,Malignant,Macrophage,2624,315,7.03646
MIF__Malignant|IL6ST__Stroma,MIF,IL6ST,Malignant,Stroma,2624,768,6.92022
APOE__Macrophage|FLOT1__Malignant,APOE,FLOT1,Macrophage,Malignant,315,2624,6.83971
B2M__Malignant|ENO1__Macrophage,B2M,ENO1,Malignant,Macrophage,2624,315,6.795665
TFF3__Malignant|CD63__Macrophage,TFF3,CD63,Malignant,Macrophage,2624,315,6.7950354
FN1__Stroma|CD74__Macrophage,FN1,CD74,Stroma,Macrophage,768,315,6.7930737
HLA-C__Malignant|CD81__Stroma,HLA-C,CD81,Malignant,Stroma,2624,768,6.5648007
FN1__Stroma|IL6ST__Malignant,FN1,IL6ST,Stroma,Malignant,768,2624,6.549756
PSAP__Macrophage|ERBB2__Malignant,PSAP,ERBB2,Macrophage,Malignant,315,2624,6.534952
B2M__Malignant|CD151__Stroma,B2M,CD151,Malignant,Stroma,2624,768,6.43007
HLA-B__Malignant|IL6ST__Stroma,HLA-B,IL6ST,Malignant,Stroma,2624,768,6.346415
COPA__Malignant|CD74__Macrophage,COPA,CD74,Malignant,Macrophage,2624,315,6.3187547
HLA-B__Malignant|TYROBP__Macrophage,HLA-B,TYROBP,Malignant,Macrophage,2624,315,6.318421
MIF__Malignant|TYROBP__Macrophage,MIF,TYROBP,Malignant,Macrophage,2624,315,6.309525
APOE__Macrophage|PLXNB2__Malignant,APOE,PLXNB2,Macrophage,Malignant,315,2624,6.288166
CGA__Malignant|CD74__Macrophage,CGA,CD74,Malignant,Macrophage,2624,315,6.2651863
B2M__Malignant|ITGB1__Stroma,B2M,ITGB1,Malignant,Stroma,2624,768,6.1779056
DAG1__Malignant|CD74__Macrophage,DAG1,CD74,Malignant,Macrophage,2624,315,6.130637
APOE__Macrophage|IFITM1__Malignant,APOE,IFITM1,Macrophage,Malignant,315,2624,6.0627427
HLA-DRA__Macrophage|ERBB2__Malignant,HLA-DRA,ERBB2,Macrophage,Malignant,315,2624,6.026073
PSAP__Macrophage|ENO1__Malignant,PSAP,ENO1,Macrophage,Malignant,315,2624,5.985787
CD24__Malignant|CD81__Stroma,CD24,CD81,Malignant,Stroma,2624,768,5.9512568
HLA-C__Malignant|CD74__Stroma,HLA-C,CD74,Malignant,Stroma,2624,768,5.9464316
B2M__Malignant|CD74__Bcell,B2M,CD74,Malignant,Bcell,2624,20,5.939597
LYZ__Macrophage|CD9__Malignant,LYZ,CD9,Macrophage,Malignant,315,2624,5.9228163
APOE__Macrophage|AMFR__Malignant,APOE,AMFR,Macrophage,Malignant,315,2624,5.9080443
HLA-C__Malignant|CD81__Macrophage,HLA-C,CD81,Malignant,Macrophage,2624,315,5.7176104
PSAP__Macrophage|CD151__Malignant,PSAP,CD151,Macrophage,Malignant,315,2624,5.692201
HLA-B__Malignant|CD9__Macrophage,HLA-B,CD9,Malignant,Macrophage,2624,315,5.5801973
APOE__Macrophage|CD55__Malignant,APOE,CD55,Macrophage,Malignant,315,2624,5.56585
HLA-DRA__Macrophage|ENO1__Malignant,HLA-DRA,ENO1,Macrophage,Malignant,315,2624,5.476119
MIF__Malignant|CD151__Stroma,MIF,CD151,Malignant,Stroma,2624,768,5.4500847
MIF__Malignant|CD9__Macrophage,MIF,CD9,Malignant,Macrophage,2624,315,5.431208
CD24__Malignant|CD74__Stroma,CD24,CD74,Malignant,Stroma,2624,768,5.375363
B2M__Malignant|ITGB2__Macrophage,B2M,ITGB2,Malignant,Macrophage,2624,315,5.3484945
RTN4__Malignant|CD74__Macrophage,RTN4,CD74,Malignant,Macrophage,2624,315,5.335739
HLA-B__Malignant|ENO1__Macrophage,HLA-B,ENO1,Malignant,Macrophage,2624,315,5.2789674
FN1__Stroma|ENO1__Malignant,FN1,ENO1,Stroma,Malignant,768,2624,5.254675
UBA52__Malignant|CD81__Stroma,UBA52,CD81,Malignant,Stroma,2624,768,5.241512
C1QA__Macrophage|BAMBI__Malignant,C1QA,BAMBI,Macrophage,Malignant,315,2624,5.227296
MIF__Malignant|ITGB1__Stroma,MIF,ITGB1,Malignant,Stroma,2624,768,5.2266107
MIF__Malignant|ENO1__Macrophage,MIF,ENO1,Malignant,Macrophage,2624,315,5.226455
HLA-DRA__Macrophage|CD151__Malignant,HLA-DRA,CD151,Macrophage,Malignant,315,2624,5.223425
FN1__Stroma|ERBB2__Malignant,FN1,ERBB2,Stroma,Malignant,768,2624,5.1717925
TIMP3__Stroma|CD74__Malignant,TIMP3,CD74,Stroma,Malignant,768,2624,5.1494827
LYZ__Macrophage|IL6ST__Malignant,LYZ,IL6ST,Macrophage,Malignant,315,2624,5.111742
C1QB__Macrophage|BAMBI__Malignant,C1QB,BAMBI,Macrophage,Malignant,315,2624,5.1019197
APOE__Macrophage|PRLR__Malignant,APOE,PRLR,Macrophage,Malignant,315,2624,5.0427084
HLA-C__Malignant|CD63__Macrophage,HLA-C,CD63,Malignant,Macrophage,2624,315,5.0405803
B2M__Malignant|SDC1__Stroma,B2M,SDC1,Malignant,Stroma,2624,768,4.9747233
ALCAM__Malignant|CD74__Macrophage,ALCAM,CD74,Malignant,Macrophage,2624,315,4.903222
FN1__Stroma|CD151__Malignant,FN1,CD151,Stroma,Malignant,768,2624,4.889271
HLA-B__Malignant|CD151__Stroma,HLA-B,CD151,Malignant,Stroma,2624,768,4.8699174
COL9A2__Malignant|CD74__Macrophage,COL9A2,CD74,Malignant,Macrophage,2624,315,4.8447986
HLA-A__Malignant|IL6ST__Stroma,HLA-A,IL6ST,Malignant,Stroma,2624,768,4.8157706
APP__Malignant|CD74__Macrophage,APP,CD74,Malignant,Macrophage,2624,315,4.807356
MIF__Malignant|CD74__Bcell,MIF,CD74,Malignant,Bcell,2624,20,4.8033476
B2M__Malignant|PLXNB2__Stroma,B2M,PLXNB2,Malignant,Stroma,2624,768,4.7923293
TFF3__Malignant|IL6ST__Stroma,TFF3,IL6ST,Malignant,Stroma,2624,768,4.769673
LYZ__Macrophage|CD63__Malignant,LYZ,CD63,Macrophage,Malignant,315,2624,4.756412
B2M__Malignant|SDC4__Stroma,B2M,SDC4,Malignant,Stroma,2624,768,4.7395053
UBA52__Malignant|CD74__Stroma,UBA52,CD74,Malignant,Stroma,2624,768,4.7166257
HLA-A__Malignant|TYROBP__Macrophage,HLA-A,TYROBP,Malignant,Macrophage,2624,315,4.714985
B2M__Malignant|IL6ST__Macrophage,B2M,IL6ST,Malignant,Macrophage,2624,315,4.7142825
CD24__Malignant|CD81__Macrophage,CD24,CD81,Malignant,Macrophage,2624,315,4.6719804
HLA-B__Malignant|ITGB1__Stroma,HLA-B,ITGB1,Malignant,Stroma,2624,768,4.6703763
PSAP__Macrophage|SDC1__Malignant,PSAP,SDC1,Macrophage,Malignant,315,2624,4.6475368
GRN__Macrophage|BAMBI__Malignant,GRN,BAMBI,Macrophage,Malignant,315,2624,4.6392426
PSAP__Macrophage|GFRA1__Malignant,PSAP,GFRA1,Macrophage,Malignant,315,2624,4.6084228
HLA-B__Malignant|CD74__Bcell,HLA-B,CD74,Malignant,Bcell,2624,20,4.599635
VIM__Macrophage|BAMBI__Malignant,VIM,BAMBI,Macrophage,Malignant,315,2624,4.574162
B2M__Malignant|ITGB5__Stroma,B2M,ITGB5,Malignant,Stroma,2624,768,4.4407268
APOE__Macrophage|ATP6AP2__Malignant,APOE,ATP6AP2,Macrophage,Malignant,315,2624,4.4330997
B2M__Malignant|FLOT1__Macrophage,B2M,FLOT1,Malignant,Macrophage,2624,315,4.383122
APOE__Macrophage|ADORA2A__Malignant,APOE,ADORA2A,Macrophage,Malignant,315,2624,4.3602343
TFF3__Malignant|TYROBP__Macrophage,TFF3,TYROBP,Malignant,Macrophage,2624,315,4.353446
PSAP__Macrophage|FLOT1__Malignant,PSAP,FLOT1,Macrophage,Malignant,315,2624,4.352376
HLA-DRA__Macrophage|SDC1__Malignant,HLA-DRA,SDC1,Macrophage,Malignant,315,2624,4.277577
GNAS__Malignant|CD81__Stroma,GNAS,CD81,Malignant,Stroma,2624,768,4.258288
HLA-DRA__Macrophage|GFRA1__Malignant,HLA-DRA,GFRA1,Macrophage,Malignant,315,2624,4.237804
UBA52__Malignant|CD81__Macrophage,UBA52,CD81,Malignant,Macrophage,2624,315,4.192883
MIF__Malignant|SDC1__Stroma,MIF,SDC1,Malignant,Stroma,2624,768,4.1912675
FN1__Stroma|GFRA1__Malignant,FN1,GFRA1,Stroma,Malignant,768,2624,4.1800804
HLA-B__Malignant|ITGB2__Macrophage,HLA-B,ITGB2,Malignant,Macrophage,2624,315,4.1550264
HLA-A__Malignant|CD9__Macrophage,HLA-A,CD9,Malignant,Macrophage,2624,315,4.1525474
MIF__Malignant|ITGB2__Macrophage,MIF,ITGB2,Malignant,Macrophage,2624,315,4.1498322
CD24__Malignant|CD63__Macrophage,CD24,CD63,Malignant,Macrophage,2624,315,4.093982
LRPAP1__Malignant|CD74__Macrophage,LRPAP1,CD74,Malignant,Macrophage,2624,315,4.07165
COMP__Stroma|CD74__Malignant,COMP,CD74,Stroma,Malignant,768,2624,4.0694466
HLA-DRA__Macrophage|FLOT1__Malignant,HLA-DRA,FLOT1,Macrophage,Malignant,315,2624,4.047996
MIF__Malignant|PLXNB2__Stroma,MIF,PLXNB2,Malignant,Stroma,2624,768,4.0267153
PSAP__Macrophage|PLXNB2__Malignant,PSAP,PLXNB2,Macrophage,Malignant,315,2624,4.024948
LGALS3BP__Malignant|CD81__Stroma,LGALS3BP,CD81,Malignant,Stroma,2624,768,4.023056
HSPA1A__Malignant|CD81__Stroma,HSPA1A,CD81,Malignant,Stroma,2624,768,3.9515686
MIF__Malignant|SDC4__Stroma,MIF,SDC4,Malignant,Stroma,2624,768,3.9490929
HLA-A__Malignant|ENO1__Macrophage,HLA-A,ENO1,Malignant,Macrophage,2624,315,3.940577
GNAS__Malignant|CD74__Stroma,GNAS,CD74,Malignant,Stroma,2624,768,3.8706427
PSAP__Macrophage|IFITM1__Malignant,PSAP,IFITM1,Macrophage,Malignant,315,2624,3.863882
YBX1__Malignant|CD74__Macrophage,YBX1,CD74,Malignant,Macrophage,2624,315,3.8279197
LGALS3BP__Malignant|CD74__Stroma,LGALS3BP,CD74,Malignant,Stroma,2624,768,3.8107874
B2M__Malignant|FLOT1__Stroma,B2M,FLOT1,Malignant,Stroma,2624,768,3.8083706
B2M__Malignant|SDC4__Macrophage,B2M,SDC4,Malignant,Macrophage,2624,315,3.7730353
HLA-B__Malignant|SDC1__Stroma,HLA-B,SDC1,Malignant,Stroma,2624,768,3.7652106
PSAP__Macrophage|AMFR__Malignant,PSAP,AMFR,Macrophage,Malignant,315,2624,3.751352
MIF__Malignant|ITGB5__Stroma,MIF,ITGB5,Malignant,Stroma,2624,768,3.7506316
FN1__Stroma|SDC1__Malignant,FN1,SDC1,Stroma,Malignant,768,2624,3.7501018
HLA-A__Malignant|CD151__Stroma,HLA-A,CD151,Malignant,Stroma,2624,768,3.7216952
HLA-B__Malignant|IL6ST__Macrophage,HLA-B,IL6ST,Malignant,Macrophage,2624,315,3.7189655
HLA-DRA__Macrophage|PLXNB2__Malignant,HLA-DRA,PLXNB2,Macrophage,Malignant,315,2624,3.717019
APOE__Macrophage|ITGB5__Malignant,APOE,ITGB5,Macrophage,Malignant,315,2624,3.699047
ARF1__Malignant|CD81__Stroma,ARF1,CD81,Malignant,Stroma,2624,768,3.6979718
LAMA5__Malignant|CD74__Macrophage,LAMA5,CD74,Malignant,Macrophage,2624,315,3.6919403
UBA52__Malignant|CD63__Macrophage,UBA52,CD63,Malignant,Macrophage,2624,315,3.6857693
TFF3__Malignant|CD151__Stroma,TFF3,CD151,Malignant,Stroma,2624,768,3.6829052
TFF3__Malignant|CD9__Macrophage,TFF3,CD9,Malignant,Macrophage,2624,315,3.6721563
HLA-B__Malignant|PLXNB2__Stroma,HLA-B,PLXNB2,Malignant,Stroma,2624,768,3.6469736
HLA-B__Malignant|SDC4__Stroma,HLA-B,SDC4,Malignant,Stroma,2624,768,3.5955915
HLA-A__Malignant|ITGB1__Stroma,HLA-A,ITGB1,Malignant,Stroma,2624,768,3.578125
PSAP__Macrophage|CD55__Malignant,PSAP,CD55,Macrophage,Malignant,315,2624,3.5745244
HLA-DRA__Macrophage|IFITM1__Malignant,HLA-DRA,IFITM1,Macrophage,Malignant,315,2624,3.556982
TFF3__Malignant|ENO1__Macrophage,TFF3,ENO1,Malignant,Macrophage,2624,315,3.5439415
HSPA1A__Malignant|CD74__Stroma,HSPA1A,CD74,Malignant,Stroma,2624,768,3.5353842
MIF__Malignant|IL6ST__Macrophage,MIF,IL6ST,Malignant,Macrophage,2624,315,3.4814568
LYZ__Macrophage|ERBB2__Malignant,LYZ,ERBB2,Macrophage,Malignant,315,2624,3.4813492
HLA-DRA__Macrophage|AMFR__Malignant,HLA-DRA,AMFR,Macrophage,Malignant,315,2624,3.480283
B2M__Malignant|NOTCH3__Stroma,B2M,NOTCH3,Malignant,Stroma,2624,768,3.4730482
CD9__Malignant|CD81__Stroma,CD9,CD81,Malignant,Stroma,2624,768,3.4680495
HLA-A__Malignant|CD74__Bcell,HLA-A,CD74,Malignant,Bcell,2624,20,3.462669
TFF3__Malignant|ITGB1__Stroma,TFF3,ITGB1,Malignant,Stroma,2624,768,3.455174
B2M__Malignant|CD44__Macrophage,B2M,CD44,Malignant,Macrophage,2624,315,3.4471326
HLA-B__Malignant|FLOT1__Macrophage,HLA-B,FLOT1,Malignant,Macrophage,2624,315,3.4371593
C1QA__Macrophage|CD9__Malignant,C1QA,CD9,Macrophage,Malignant,315,2624,3.4174397
GNAS__Malignant|CD81__Macrophage,GNAS,CD81,Malignant,Macrophage,2624,315,3.3956025
HLA-B__Malignant|ITGB5__Stroma,HLA-B,ITGB5,Malignant,Stroma,2624,768,3.3689322
ARF1__Malignant|CD74__Stroma,ARF1,CD74,Malignant,Stroma,2624,768,3.3431864
EFNA1__Malignant|CD81__Stroma,EFNA1,CD81,Malignant,Stroma,2624,768,3.3388088
LGALS3BP__Malignant|CD81__Macrophage,LGALS3BP,CD81,Malignant,Macrophage,2624,315,3.3301468
C1QB__Macrophage|CD9__Malignant,C1QB,CD9,Macrophage,Malignant,315,2624,3.2992678
MIF__Malignant|FLOT1__Macrophage,MIF,FLOT1,Malignant,Macrophage,2624,315,3.2728052
FN1__Stroma|FLOT1__Malignant,FN1,FLOT1,Stroma,Malignant,768,2624,3.268131
HLA-DRA__Macrophage|CD55__Malignant,HLA-DRA,CD55,Macrophage,Malignant,315,2624,3.266799
ANXA2__Macrophage|CD74__Malignant,ANXA2,CD74,Macrophage,Malignant,315,2624,3.2636065
FN1__Stroma|PLXNB2__Malignant,FN1,PLXNB2,Stroma,Malignant,768,2624,3.2499723
HLA-C__Malignant|IL6ST__Stroma,HLA-C,IL6ST,Malignant,Stroma,2624,768,3.230245
THBS1__Stroma|CD74__Malignant,THBS1,CD74,Stroma,Malignant,768,2624,3.226471
PSAP__Macrophage|PRLR__Malignant,PSAP,PRLR,Macrophage,Malignant,315,2624,3.2158215
MIF__Malignant|FLOT1__Stroma,MIF,FLOT1,Malignant,Stroma,2624,768,3.1951284
HLA-C__Malignant|TYROBP__Macrophage,HLA-C,TYROBP,Malignant,Macrophage,2624,315,3.1524837
CD47__Malignant|CD74__Macrophage,CD47,CD74,Malignant,Macrophage,2624,315,3.1429017
LYZ__Macrophage|ENO1__Malignant,LYZ,ENO1,Macrophage,Malignant,315,2624,3.1378171
TFF3__Malignant|CD74__Bcell,TFF3,CD74,Malignant,Bcell,2624,20,3.1363995
CD9__Malignant|CD74__Stroma,CD9,CD74,Malignant,Stroma,2624,768,3.111517
CD44__Malignant|CD74__Macrophage,CD44,CD74,Malignant,Macrophage,2624,315,3.1070976
HLA-A__Malignant|ITGB2__Macrophage,HLA-A,ITGB2,Malignant,Macrophage,2624,315,3.0962145
B2M__Malignant|APLP2__Stroma,B2M,APLP2,Malignant,Stroma,2624,768,3.0937574
FN1__Stroma|IFITM1__Malignant,FN1,IFITM1,Stroma,Malignant,768,2624,3.0686266
HSPA1A__Malignant|CD81__Macrophage,HSPA1A,CD81,Malignant,Macrophage,2624,315,3.042982
GRN__Macrophage|CD9__Malignant,GRN,CD9,Macrophage,Malignant,315,2624,3.037089
FN1__Stroma|CD55__Malignant,FN1,CD55,Stroma,Malignant,768,2624,3.0295985
TNFSF10__Malignant|CD81__Stroma,TNFSF10,CD81,Malignant,Stroma,2624,768,2.9985464
EFNA1__Malignant|CD74__Stroma,EFNA1,CD74,Malignant,Stroma,2624,768,2.9979475
LYZ__Macrophage|CD151__Malignant,LYZ,CD151,Macrophage,Malignant,315,2624,2.995671
VIM__Macrophage|CD9__Malignant,VIM,CD9,Macrophage,Malignant,315,2624,2.9827037
GNAS__Malignant|CD63__Macrophage,GNAS,CD63,Malignant,Macrophage,2624,315,2.9820838
HLA-DRA__Macrophage|PRLR__Malignant,HLA-DRA,PRLR,Macrophage,Malignant,315,2624,2.9791424
B2M__Malignant|ITGB1__Macrophage,B2M,ITGB1,Malignant,Macrophage,2624,315,2.9538877
LGALS3BP__Malignant|CD63__Macrophage,LGALS3BP,CD63,Malignant,Macrophage,2624,315,2.952927
HLA-B__Malignant|SDC4__Macrophage,HLA-B,SDC4,Malignant,Macrophage,2624,315,2.951588
F11R__Malignant|CD74__Macrophage,F11R,CD74,Malignant,Macrophage,2624,315,2.9445853
MIF__Malignant|NOTCH3__Stroma,MIF,NOTCH3,Malignant,Stroma,2624,768,2.942682
ARF1__Malignant|CD81__Macrophage,ARF1,CD81,Malignant,Macrophage,2624,315,2.927336
HLA-B__Malignant|FLOT1__Stroma,HLA-B,FLOT1,Malignant,Stroma,2624,768,2.9008236
TFF3__Malignant|ITGB2__Macrophage,TFF3,ITGB2,Malignant,Macrophage,2624,315,2.8812666
HLA-A__Malignant|SDC1__Stroma,HLA-A,SDC1,Malignant,Stroma,2624,768,2.8761199
TIMP3__Stroma|BAMBI__Malignant,TIMP3,BAMBI,Stroma,Malignant,768,2624,2.8745794
C1QA__Macrophage|IL6ST__Malignant,C1QA,IL6ST,Macrophage,Malignant,315,2624,2.8719916
CD24__Malignant|IL6ST__Stroma,CD24,IL6ST,Malignant,Stroma,2624,768,2.8648427
MIF__Malignant|SDC4__Macrophage,MIF,SDC4,Malignant,Macrophage,2624,315,2.8480618
CALR__Malignant|CD81__Stroma,CALR,CD81,Malignant,Stroma,2624,768,2.8429346
PSAP__Macrophage|ATP6AP2__Malignant,PSAP,ATP6AP2,Macrophage,Malignant,315,2624,2.8356378
LTBP3__Malignant|CD74__Macrophage,LTBP3,CD74,Malignant,Macrophage,2624,315,2.823049
C1QB__Macrophage|IL6ST__Malignant,C1QB,IL6ST,Macrophage,Malignant,315,2624,2.8163643
TFF3__Malignant|SDC1__Stroma,TFF3,SDC1,Malignant,Stroma,2624,768,2.8160026
HLA-DMA__Macrophage|CD74__Malignant,HLA-DMA,CD74,Macrophage,Malignant,315,2624,2.806304
FN1__Stroma|AMFR__Malignant,FN1,AMFR,Stroma,Malignant,768,2624,2.7966561
CD9__Malignant|CD81__Macrophage,CD9,CD81,Malignant,Macrophage,2624,315,2.7895825
AZGP1__Malignant|CD81__Stroma,AZGP1,CD81,Malignant,Stroma,2624,768,2.78604
PSAP__Macrophage|ADORA2A__Malignant,PSAP,ADORA2A,Macrophage,Malignant,315,2624,2.7830145
HLA-A__Malignant|PLXNB2__Stroma,HLA-A,PLXNB2,Malignant,Stroma,2624,768,2.7776053
HLA-C__Malignant|CD9__Macrophage,HLA-C,CD9,Malignant,Macrophage,2624,315,2.771544
