Ligand,Receptor,TF,Target
DUSP18,CD151,HDAC1,IGFBP3
DUSP18,CD151,NFKB1,CCL19
DUSP18,CD151,NFKB1,RAMP1
ESAM,ESAM,HDAC1,IGFBP3
ESAM,ESAM,NFKB1,CCL19
ESAM,ESAM,NFKB1,RAMP1
HBEGF,CD82,HDAC1,IGFBP3
HBEGF,CD82,NFKB1,CCL19
HBEGF,CD82,NFKB1,RAMP1
SELE,GLG1,HDAC1,IGFBP3
SELE,GLG1,NFKB1,CCL19
SELE,GLG1,NFKB1,RAMP1
SELPLG,ESAM,HDAC1,IGFBP3
SELPLG,ESAM,NFKB1,CCL19
SELPLG,ESAM,NFKB1,RAMP1
