ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
LYZ__Macrophage,ERBB2__Malignant,LYZ__Macrophage|ERBB2__Malignant,9.37510846804574,0,501.9902846311782,35606.66196163772,40.691913164280074,2.1692082031036057,5.9725087975793345
MIF__Malignant,FLOT1__Stroma,MIF__Malignant|FLOT1__Stroma,9.355123431021951,7.947604207064911,84.66187632385049,35530.75879102137,10.421307088520948,43.70585223720301,0.3311780713427093
GNAS__Malignant,CD81__Macrophage,GNAS__Malignant|CD81__Macrophage,9.34827404217278,7.715030898216697,61.551492772254115,35504.74481217222,9.558265620930577,13.152725906951673,1.0129718986130358
HLA-DRA__Macrophage,AMFR__Malignant,HLA-DRA__Macrophage|AMFR__Malignant,9.28906482028074,0,353.263709121491,35279.868187426255,34.9981307280814,3.765344818249655,3.4457402146458658
C1QA__Macrophage,CD9__Malignant,C1QA__Macrophage|CD9__Malignant,9.258068836460563,0,371.40781000830503,35162.14544087722,35.994709419485645,1.2498494337199684,10.56470171391948
LGALS3BP__Malignant,CD81__Macrophage,LGALS3BP__Malignant|CD81__Macrophage,9.164457736210709,4.005482759500464,113.74541981888184,34806.61048212827,12.741762613994746,12.223174829218673,1.0129718986130358
ANXA2__Macrophage,CD74__Malignant,ANXA2__Macrophage|CD74__Malignant,9.112477434589985,0,655.5294658557276,34609.18929657277,39.42449346475924,0.4586056920884343,27.971675213352512
MIF__Malignant,FLOT1__Macrophage,MIF__Malignant|FLOT1__Macrophage,9.084256007125207,7.811241816588151,55.711594914452256,34502.00431506154,9.24671421949933,43.70585223720301,0.29472753962498033
FN1__Stroma,IFITM1__Malignant,FN1__Stroma|IFITM1__Malignant,9.047553502093677,0,574.8203704304135,34362.608200951785,37.930745162921816,3.791117473611257,3.5726933647484946
HLA-A__Malignant,CD74__Bcell,HLA-A__Malignant|CD74__Bcell,9.024970399888831,6.171287286873222,137.79568146414545,34276.83757877778,11.087928411053237,31.03118324208266,0.4955562412609844
CD9__Malignant,CD74__Stroma,CD9__Malignant|CD74__Stroma,9.011084227556237,6.503110734310114,79.58776479703309,34224.09789625859,10.370929857547745,10.56470171391948,1.3465733596013119
C1QB__Macrophage,CD9__Malignant,C1QB__Macrophage|CD9__Malignant,8.984719203126453,0,454.4382085075707,34123.96353347426,35.45806513068874,1.208112352032999,10.56470171391948
HLA-DRA__Macrophage,CD55__Malignant,HLA-DRA__Macrophage|CD55__Malignant,8.923423701446534,0,315.0187663227146,33891.16321809394,33.88760029012474,3.765344818249655,3.44420303385949
FN1__Stroma,CD55__Malignant,FN1__Stroma|CD55__Malignant,8.903818578778647,0,593.6538200742946,33816.7029622013,37.91832519065358,3.791117473611257,3.44420303385949
HLA-C__Malignant,TYROBP__Macrophage,HLA-C__Malignant|TYROBP__Macrophage,8.771885159189866,5.75334939998208,166.02297407709446,33315.619834603116,11.973068224995815,20.50116626115124,0.5806380080919443
LYZ__Macrophage,ENO1__Malignant,LYZ__Macrophage|ENO1__Malignant,8.72068471904731,0,454.162094344311,33121.16056294168,37.51095742011182,2.1692082031036057,5.961806937399298
PSAP__Macrophage,PRLR__Malignant,PSAP__Macrophage|PRLR__Malignant,8.716205745086413,0,411.0441015016,33104.1494198382,34.6847648272685,4.120553171189394,2.901777278060352
TNFSF10__Malignant,CD81__Stroma,TNFSF10__Malignant|CD81__Stroma,8.623159442779137,3.1828625248108353,224.22922058033112,32750.75956367516,14.926435793403279,8.5561459417062,1.4535856479969007
HLA-A__Malignant,ITGB2__Macrophage,HLA-A__Malignant|ITGB2__Macrophage,8.608265612465534,5.915251917233407,133.27699066623225,32694.1927961441,11.178822028453137,31.03118324208266,0.37840045546879175
CD47__Malignant,CD74__Macrophage,CD47__Malignant|CD74__Macrophage,8.592645460178954,3.914002875822062,97.51636075774704,32634.867457759665,12.314321066949848,1.5383136082568338,7.736225637451514
EFNA1__Malignant,CD74__Stroma,EFNA1__Malignant|CD74__Stroma,8.587100108593726,4.627905343915938,131.2126883929803,32613.806212438973,11.533544598957025,9.79413117980602,1.3465733596013119
CD44__Malignant,CD74__Macrophage,CD44__Malignant|CD74__Macrophage,8.461052571272756,3.719618382063609,89.09530264188737,32135.077665693927,12.060666720091074,1.5588424906899023,7.736225637451514
HLA-B__Malignant,FLOT1__Stroma,HLA-B__Malignant|FLOT1__Stroma,8.46056400268271,6.04599105288944,135.80902119954706,32133.222082188935,10.40439304257231,40.37302955570916,0.3311780713427093
HSPA1A__Malignant,CD81__Macrophage,HSPA1A__Malignant|CD81__Macrophage,8.457521753988724,5.744033182710634,169.2973465014618,32121.667621649172,9.750701711228373,12.164245659901171,1.0129718986130358
FN1__Stroma,AMFR__Malignant,FN1__Stroma|AMFR__Malignant,8.338932942947848,0,532.2362449872969,31671.267317315924,33.84528405554483,3.791117473611257,3.4457402146458658
GRN__Macrophage,CD9__Malignant,GRN__Macrophage|CD9__Malignant,8.322288768054468,0,423.2063563463855,31608.052741070875,33.75456536792136,1.1142246233016815,10.56470171391948
TIMP3__Stroma,BAMBI__Malignant,TIMP3__Stroma|BAMBI__Malignant,8.300033552960851,0,601.4738757117376,31523.52743414531,32.724206645356396,0.8455072563670505,15.04070305679784
CD24__Malignant,IL6ST__Stroma,CD24__Malignant|IL6ST__Stroma,8.242757357057329,6.008793476171535,70.14400644058941,31305.992442103736,9.095934695838286,17.664792125884766,0.7118768139545881
GNAS__Malignant,CD63__Macrophage,GNAS__Malignant|CD63__Macrophage,8.223760383657249,6.796994555393409,54.08324811744799,31233.84193713023,8.409144635378645,13.152725906951673,0.8955163413277767
LYZ__Macrophage,CD151__Malignant,LYZ__Macrophage|CD151__Malignant,8.205894159448938,0,427.8787527611165,31165.986017587064,35.33201208937323,2.1692082031036057,5.51159957558688
