Sender,Receiver,Ligand,Receptor,LRscore,all
Macrophage,Malignant,HLA-DRA,ENO1,22.20160892740985,Macrophage_HLA-DRA_Malignant_ENO1
Macrophage,Malignant,HLA-DRA,CD63,26.102700972566222,Macrophage_HLA-DRA_Malignant_CD63
Macrophage,Malignant,LYZ,IL6ST,20.41352493135263,Macrophage_LYZ_Malignant_IL6ST
Macrophage,Stroma,LYZ,IL6ST,18.20235900366207,Macrophage_LYZ_Stroma_IL6ST
Macrophage,Malignant,LYZ,ENO1,18.608174590907304,Macrophage_LYZ_Malignant_ENO1
Macrophage,Malignant,LYZ,CD63,21.89903697536039,Macrophage_LYZ_Malignant_CD63
Macrophage,Malignant,C1QB,ENO1,16.862841005918874,Macrophage_C1QB_Malignant_ENO1
Macrophage,Malignant,C1QB,CD63,19.814122252107982,Macrophage_C1QB_Malignant_CD63
Macrophage,Bcell,APOE,CD74,40.94358986155877,Macrophage_APOE_Bcell_CD74
Macrophage,Malignant,APOE,CD74,38.360437083812045,Macrophage_APOE_Malignant_CD74
Macrophage,Stroma,APOE,CD74,40.22576922975268,Macrophage_APOE_Stroma_CD74
Macrophage,Malignant,APOE,IL6ST,26.326567659495254,Macrophage_APOE_Malignant_IL6ST
Macrophage,Stroma,APOE,IL6ST,23.37300808241457,Macrophage_APOE_Stroma_IL6ST
Macrophage,Malignant,APOE,ENO1,24.11396996300456,Macrophage_APOE_Malignant_ENO1
Macrophage,Malignant,APOE,CD63,28.332262740318225,Macrophage_APOE_Malignant_CD63
Macrophage,Malignant,VIM,IL6ST,18.96892645657869,Macrophage_VIM_Malignant_IL6ST
Macrophage,Stroma,VIM,IL6ST,18.21578148230329,Macrophage_VIM_Stroma_IL6ST
Macrophage,Malignant,VIM,ENO1,17.421022087884058,Macrophage_VIM_Malignant_ENO1
Macrophage,Malignant,VIM,CD63,20.450975159602073,Macrophage_VIM_Malignant_CD63
Macrophage,Malignant,PSAP,IL6ST,25.103058743528308,Macrophage_PSAP_Malignant_IL6ST
Macrophage,Stroma,PSAP,IL6ST,22.193835118795633,Macrophage_PSAP_Stroma_IL6ST
Macrophage,Malignant,PSAP,ENO1,22.973973790788442,Macrophage_PSAP_Malignant_ENO1
Macrophage,Malignant,PSAP,CD63,26.997265434181447,Macrophage_PSAP_Malignant_CD63
Macrophage,Malignant,GRN,IL6ST,20.360207170492068,Macrophage_GRN_Malignant_IL6ST
Macrophage,Stroma,GRN,IL6ST,17.621485413289115,Macrophage_GRN_Stroma_IL6ST
Macrophage,Malignant,GRN,ENO1,18.645648144646014,Macrophage_GRN_Malignant_ENO1
Macrophage,Malignant,GRN,CD63,21.903721984580994,Macrophage_GRN_Malignant_CD63
Macrophage,Malignant,ANXA2,IL6ST,15.882081324436003,Macrophage_ANXA2_Malignant_IL6ST
Macrophage,Stroma,ANXA2,IL6ST,14.514067457079044,Macrophage_ANXA2_Stroma_IL6ST
Macrophage,Malignant,ANXA2,ENO1,14.5589811287796,Macrophage_ANXA2_Malignant_ENO1
Macrophage,Malignant,ANXA2,CD63,17.092853600797678,Macrophage_ANXA2_Malignant_CD63
Malignant,Stroma,AZGP1,IL6ST,15.711577620966098,Malignant_AZGP1_Stroma_IL6ST
Malignant,Macrophage,AZGP1,ENO1,15.365783699023075,Malignant_AZGP1_Macrophage_ENO1
Malignant,Macrophage,AZGP1,CD63,17.994344759375913,Malignant_AZGP1_Macrophage_CD63
Malignant,Bcell,EFNA1,CD74,23.313554795557675,Malignant_EFNA1_Bcell_CD74
Malignant,Macrophage,EFNA1,CD74,25.353324775379,Malignant_EFNA1_Macrophage_CD74
Malignant,Stroma,EFNA1,CD74,25.115917135393026,Malignant_EFNA1_Stroma_CD74
Malignant,Stroma,EFNA1,IL6ST,16.142688936099972,Malignant_EFNA1_Stroma_IL6ST
Malignant,Macrophage,EFNA1,ENO1,15.903308322079603,Malignant_EFNA1_Macrophage_ENO1
Malignant,Macrophage,EFNA1,CD63,18.62222850346782,Malignant_EFNA1_Macrophage_CD63
Malignant,Stroma,CD24,IL6ST,18.864410058549296,Malignant_CD24_Stroma_IL6ST
Malignant,Macrophage,CD24,ENO1,19.090156355128308,Malignant_CD24_Macrophage_ENO1
Malignant,Macrophage,CD24,CD63,22.389707771295313,Malignant_CD24_Macrophage_CD63
Malignant,Bcell,TFF3,CD74,31.460779368774716,Malignant_TFF3_Bcell_CD74
Malignant,Macrophage,TFF3,CD74,33.940165379729535,Malignant_TFF3_Macrophage_CD74
Malignant,Stroma,TFF3,CD74,32.977943156534806,Malignant_TFF3_Stroma_CD74
Malignant,Stroma,TFF3,IL6ST,20.984348540129517,Malignant_TFF3_Stroma_IL6ST
Malignant,Macrophage,TFF3,ENO1,21.126100997112513,Malignant_TFF3_Macrophage_ENO1
Malignant,Macrophage,TFF3,CD63,24.831430918947955,Malignant_TFF3_Macrophage_CD63
Malignant,Stroma,MIF,IL6ST,24.49011589485559,Malignant_MIF_Stroma_IL6ST
Malignant,Macrophage,MIF,ENO1,23.858456540655798,Malignant_MIF_Macrophage_ENO1
Malignant,Macrophage,MIF,CD63,27.98228259568418,Malignant_MIF_Macrophage_CD63
Malignant,Stroma,TNFSF10,IL6ST,15.20833786834335,Malignant_TNFSF10_Stroma_IL6ST
Malignant,Macrophage,B2M,CD81,32.143709020938196,Malignant_B2M_Macrophage_CD81
Malignant,Stroma,B2M,CD81,31.663423383850077,Malignant_B2M_Stroma_CD81
Malignant,Macrophage,HLA-A,CD81,29.71022226356526,Malignant_HLA-A_Macrophage_CD81
Malignant,Stroma,HLA-A,CD81,29.242044649358213,Malignant_HLA-A_Stroma_CD81
Macrophage,Stroma,HLA-DRA,CD81,27.33890182275337,Macrophage_HLA-DRA_Stroma_CD81
Malignant,Macrophage,IGFBP4,CD81,21.857077994358523,Malignant_IGFBP4_Macrophage_CD81
Malignant,Stroma,IGFBP4,CD81,22.96135002335444,Malignant_IGFBP4_Stroma_CD81
Malignant,Macrophage,HLA-B,CD81,30.359218821824648,Malignant_HLA-B_Macrophage_CD81
Malignant,Stroma,HLA-B,CD81,29.486629104001967,Malignant_HLA-B_Stroma_CD81
Malignant,Macrophage,MIF,CD81,28.544147902233657,Malignant_MIF_Macrophage_CD81
Malignant,Stroma,MIF,CD81,30.08519699605993,Malignant_MIF_Stroma_CD81
Malignant,Macrophage,UBA52,CD81,24.36130281237971,Malignant_UBA52_Macrophage_CD81
Malignant,Stroma,UBA52,CD81,25.139823654106102,Malignant_UBA52_Stroma_CD81
Macrophage,Stroma,PSAP,CD81,27.70413801699866,Macrophage_PSAP_Stroma_CD81
Malignant,Bcell,GNAS,CD74,31.382677129017345,Malignant_GNAS_Bcell_CD74
Malignant,Macrophage,GNAS,CD74,29.996173050618573,Malignant_GNAS_Macrophage_CD74
Malignant,Stroma,GNAS,CD74,29.99091394618329,Malignant_GNAS_Stroma_CD74
Malignant,Macrophage,HLA-DRB1,CD81,23.098826367615366,Malignant_HLA-DRB1_Macrophage_CD81
Malignant,Stroma,HLA-DRB1,CD81,22.235915368458457,Malignant_HLA-DRB1_Stroma_CD81
Malignant,Macrophage,HLA-C,CD81,26.71388056574494,Malignant_HLA-C_Macrophage_CD81
Malignant,Stroma,HLA-C,CD81,26.3117542408533,Malignant_HLA-C_Stroma_CD81
Macrophage,Malignant,HLA-DRA,CD151,21.54579563468824,Macrophage_HLA-DRA_Malignant_CD151
Macrophage,Stroma,GRN,CD81,22.059095181310617,Macrophage_GRN_Stroma_CD81
Malignant,Bcell,ARF1,CD74,28.134879080457306,Malignant_ARF1_Bcell_CD74
Malignant,Macrophage,ARF1,CD74,28.876936026498406,Malignant_ARF1_Macrophage_CD74
Malignant,Stroma,ARF1,CD74,28.98833506289543,Malignant_ARF1_Stroma_CD74
Macrophage,Malignant,VIM,FLOT1,16.068477673013515,Macrophage_VIM_Malignant_FLOT1
Macrophage,Stroma,VIM,FLOT1,16.355059287963694,Macrophage_VIM_Stroma_FLOT1
Malignant,Bcell,HSPA1A,CD74,28.60405420095086,Malignant_HSPA1A_Bcell_CD74
Malignant,Macrophage,HSPA1A,CD74,28.64052844808239,Malignant_HSPA1A_Macrophage_CD74
Malignant,Stroma,HSPA1A,CD74,28.35695797586876,Malignant_HSPA1A_Stroma_CD74
Malignant,Macrophage,BST2,CD81,21.36608058301989,Malignant_BST2_Macrophage_CD81
Malignant,Stroma,BST2,CD81,22.233273263727575,Malignant_BST2_Stroma_CD81
Macrophage,Malignant,HLA-DRA,CD9,24.652380938513925,Macrophage_HLA-DRA_Malignant_CD9
Malignant,Macrophage,HLA-DRB1,CD9,21.334107718180142,Malignant_HLA-DRB1_Macrophage_CD9
Macrophage,Malignant,VIM,BAMBI,20.726055629302916,Macrophage_VIM_Malignant_BAMBI
Macrophage,Malignant,PSAP,CD151,22.522379317264154,Macrophage_PSAP_Malignant_CD151
Macrophage,Malignant,APOE,FLOT1,22.26366571079071,Macrophage_APOE_Malignant_FLOT1
Macrophage,Stroma,APOE,FLOT1,21.35620890819738,Macrophage_APOE_Stroma_FLOT1
Macrophage,Stroma,ANXA2,CD81,18.391492820285375,Macrophage_ANXA2_Stroma_CD81
Macrophage,Malignant,HLA-DRA,PLXNB2,20.152291883503647,Macrophage_HLA-DRA_Malignant_PLXNB2
Malignant,Macrophage,IGFBP4,FLOT1,17.001421231622025,Malignant_IGFBP4_Macrophage_FLOT1
Malignant,Stroma,IGFBP4,FLOT1,17.370199092473396,Malignant_IGFBP4_Stroma_FLOT1
Macrophage,Malignant,VIM,PLXNB2,15.798626142202403,Macrophage_VIM_Malignant_PLXNB2
Macrophage,Malignant,PSAP,FLOT1,21.373883225079496,Macrophage_PSAP_Malignant_FLOT1
Macrophage,Stroma,PSAP,FLOT1,20.29587073234791,Macrophage_PSAP_Stroma_FLOT1
Malignant,Macrophage,HLA-A,FLOT1,23.16368281150448,Malignant_HLA-A_Macrophage_FLOT1
Malignant,Stroma,HLA-A,FLOT1,22.25999973165775,Malignant_HLA-A_Stroma_FLOT1
Macrophage,Malignant,PSAP,PLXNB2,20.903145038166254,Macrophage_PSAP_Malignant_PLXNB2
Malignant,Bcell,CD9,CD74,26.155316685168575,Malignant_CD9_Bcell_CD74
Malignant,Macrophage,CD9,CD74,28.31425924727811,Malignant_CD9_Macrophage_CD74
Malignant,Stroma,CD9,CD74,28.115067790551993,Malignant_CD9_Stroma_CD74
