PC,Proportion.Variance.Explained
1,0.023314145127023008
2,0.0069926350987021555
3,0.00474373285662723
4,0.0024911901154064096
5,0.0018497524031817108
6,0.00173551737270311
7,0.0014858670206402821
8,0.0013484049521121308
9,0.0012109612781228223
10,0.0010123181604459943
