Feature
1,ENSG00000286542
2,ENSG00000249628
3,ENSG00000287821
4,ENSG00000259855
5,ENSG00000280987
6,ENSG00000177340
7,ENSG00000241933
8,ENSG00000221852
9,ENSG00000264174
10,ENSG00000276436
11,ENSG00000287348
12,ENSG00000279932
13,ENSG00000196993
14,ENSG00000183134
15,ENSG00000185966
16,ENSG00000273342
17,ENSG00000236345
18,ENSG00000285938
19,ENSG00000214415
20,ENSG00000214184
21,ENSG00000260246
22,ENSG00000276851
23,ENSG00000269815
24,ENSG00000236611
25,ENSG00000183873
26,ENSG00000255120
27,ENSG00000287629
28,ENSG00000172399
29,ENSG00000284825
30,ENSG00000286757
31,ENSG00000239440
32,ENSG00000250799
33,ENSG00000001626
34,ENSG00000243885
35,ENSG00000267052
36,ENSG00000196166
37,ENSG00000259185
38,ENSG00000228658
39,ENSG00000226707
40,ENSG00000279516
41,ENSG00000140600
42,ENSG00000284981
43,ENSG00000138463
44,ENSG00000287244
45,ENSG00000204822
46,ENSG00000081760
47,ENSG00000196834
48,ENSG00000151475
49,ENSG00000259336
50,ENSG00000254862
51,ENSG00000249816
52,ENSG00000288059
53,ENSG00000233321
54,ENSG00000213123
55,ENSG00000021461
56,ENSG00000248223
57,ENSG00000155876
58,ENSG00000259377
59,ENSG00000279954
60,ENSG00000267334
61,ENSG00000273104
62,ENSG00000103494
63,ENSG00000230314
64,ENSG00000245059
65,ENSG00000183571
66,ENSG00000007174
67,ENSG00000276631
68,ENSG00000183155
69,ENSG00000114209
70,ENSG00000181924
71,ENSG00000280145
72,ENSG00000148950
73,ENSG00000254429
74,ENSG00000236394
75,ENSG00000141644
76,ENSG00000170465
77,ENSG00000135845
78,ENSG00000229117
79,ENSG00000062582
80,ENSG00000205323
81,ENSG00000287906
82,ENSG00000150991
83,ENSG00000100625
84,ENSG00000092841
85,ENSG00000140264
86,ENSG00000132182
87,ENSG00000272047
88,ENSG00000171224
89,ENSG00000108107
90,ENSG00000108298
91,ENSG00000122432
92,ENSG00000124469
93,ENSG00000162244
94,ENSG00000148296
95,ENSG00000166828
96,ENSG00000172765
97,ENSG00000234884
98,ENSG00000111058
99,ENSG00000142541
100,ENSG00000260515
101,ENSG00000184009
102,ENSG00000164144
103,ENSG00000179119
104,ENSG00000213741
105,ENSG00000105372
106,ENSG00000154447
107,ENSG00000106028
108,ENSG00000170468
109,ENSG00000154473
110,ENSG00000270882
111,ENSG00000101363
112,ENSG00000156973
113,ENSG00000135372
114,ENSG00000160224
115,ENSG00000156482
116,ENSG00000260805
117,ENSG00000230319
118,ENSG00000147224
